Ref,Val,Package,PosX,PosY,Rot,Side
"ANT1","Antenna","SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount",-29.160000,11.300000,90.000000,bottom
"C1","C","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-23.143000,-31.035000,270.000000,bottom
"C2","C","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-10.198000,-44.116000,0.000000,bottom
"C3","C","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-15.777000,6.058000,270.000000,bottom
"C4","C","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-31.779000,-39.417000,90.000000,bottom
"C5","C","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-29.620000,-39.417000,270.000000,bottom
"C6","C","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-20.476000,-31.035000,270.000000,bottom
"C7","C","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-18.444000,6.058000,270.000000,bottom
"C8","C","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-15.802400,-44.665800,270.000000,bottom
"C9","C","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-13.313200,-44.633000,270.000000,bottom
"D1","D","D_SOD-323",-6.252000,5.922000,90.000000,bottom
"D2","D","D_SOD-323",-8.538000,5.922000,90.000000,bottom
"D3","D","D_SOD-323",-10.824000,5.922000,90.000000,bottom
"PL511","TPL5110","SOT-23-6",-16.158000,-39.925000,0.000000,bottom
"R1","R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-25.429000,-39.417000,90.000000,bottom
"R2","0R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-10.198000,-41.322000,180.000000,bottom
"R3","R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-27.461000,-39.417000,90.000000,bottom
"R4","R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-15.777000,-31.044000,270.000000,bottom
"R5","R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-18.190000,-31.026000,270.000000,bottom
"R6","R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-10.180000,-46.910000,180.000000,bottom
"R7","R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-12.729000,-37.648000,90.000000,bottom
"R8","R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-10.443000,-37.630000,270.000000,bottom
"R9","100K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-13.364000,6.040000,90.000000,bottom
"R10","100K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-16.412000,-18.335000,90.000000,bottom
"R11","R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-33.176000,-28.368000,270.000000,bottom
"R12","R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-32.922000,-33.203000,90.000000,bottom
"R13","R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-31.017000,-28.359000,90.000000,bottom
"R14","R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-28.477000,-28.232000,270.000000,bottom
"R15","R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-35.462000,-33.203000,90.000000,bottom
"RV1","R_POT","Potentiometer_Bourns_3224W_Vertical",-21.492000,-39.300000,180.000000,bottom
"SI2301","Q_PJFET_GDS","SOT-23",-7.887000,-33.575000,0.000000,bottom
"U2","RFM95W-915S2","HOPERF_RFM9XW_SMD",-15.523000,-5.508000,90.000000,bottom
"BME280","BME280","Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering",-35.081000,-38.782000,0.000000,top
"BME680","BME680","Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering",-31.144000,-38.782000,0.000000,top
"CCS811","CCS811","AMS_LGA-10-1EP_2.7x4mm_P0.6mm",-30.255000,-33.321000,270.000000,top
